1 9fc00ca8 0e 0000000a
1 9fc00cac 0f 00000008
1 9fc00cb0 0d 00000007
1 9fc00cb8 08 0000000a
1 9fc00cbc 05 00000006
1 9fc00cc0 07 00000003
1 9fc00cc4 03 00000005
1 9fc00cc8 09 00000007
1 9fc00ccc 06 0000008a
1 9fc00cd0 0a 0000014e
1 9fc00cd4 0b 9fc02428
1 9fc00cd8 12 00000008
1 9fc00cdc 18 9fc01c98
1 9fc00ce0 0f 9fc01cd8
1 9fc00ce4 0e 9fc01d18
1 9fc00ce8 02 00000050
1 9fc00cf8 0d 9fc01d58
1 9fc00cfc 04 00000046
1 9fc00d00 08 00000096
1 9fc00d04 04 00000120
1 9fc00d0c 05 00000012
1 9fc00d10 02 00000132
